S,C_soul
0.000000000000000000e+00,1.500000000000000000e+00
2.512562814070351883e-02,1.463235294117646967e+00
5.025125628140703765e-02,1.428229665071770293e+00
7.537688442211055995e-02,1.394859813084112110e+00
1.005025125628140753e-01,1.363013698630137105e+00
1.256281407035176045e-01,1.332589285714285809e+00
1.507537688442211199e-01,1.303493449781659486e+00
1.758793969849246352e-01,1.275641025641025550e+00
2.010050251256281506e-01,1.248953974895397501e+00
2.261306532663316660e-01,1.223360655737705027e+00
2.512562814070352091e-01,1.198795180722891596e+00
2.763819095477387244e-01,1.175196850393700920e+00
3.015075376884422398e-01,1.152509652509652538e+00
3.266331658291457551e-01,1.130681818181818121e+00
3.517587939698492705e-01,1.109665427509293645e+00
3.768844221105527859e-01,1.089416058394160558e+00
4.020100502512563012e-01,1.069892473118279508e+00
4.271356783919598166e-01,1.051056338028169002e+00
4.522613065326633319e-01,1.032871972318339049e+00
4.773869346733668473e-01,1.015306122448979664e+00
5.025125628140704181e-01,9.983277591973244158e-01
5.276381909547739335e-01,9.819078947368421462e-01
5.527638190954774489e-01,9.660194174757281704e-01
5.778894472361809642e-01,9.506369426751593021e-01
6.030150753768844796e-01,9.357366771159875141e-01
6.281407035175879949e-01,9.212962962962962798e-01
6.532663316582915103e-01,9.072948328267477214e-01
6.783919597989950256e-01,8.937125748502994238e-01
7.035175879396985410e-01,8.805309734513274700e-01
7.286432160804020564e-01,8.677325581395348708e-01
7.537688442211055717e-01,8.553008595988539353e-01
7.788944723618090871e-01,8.432203389830509321e-01
8.040201005025126024e-01,8.314763231197771498e-01
8.291457286432161178e-01,8.200549450549451391e-01
8.542713567839196331e-01,8.089430894308943243e-01
8.793969849246231485e-01,7.981283422459893862e-01
9.045226130653266639e-01,7.875989445910290820e-01
9.296482412060301792e-01,7.773437500000000000e-01
9.547738693467336946e-01,7.673521850899743812e-01
9.798994974874372099e-01,7.576142131979696215e-01
1.005025125628140836e+00,7.481203007518797410e-01
1.030150753768844352e+00,7.388613861386137405e-01
1.055276381909547867e+00,7.298288508557457810e-01
1.080402010050251382e+00,7.210144927536230597e-01
1.105527638190954898e+00,7.124105011933175025e-01
1.130653266331658413e+00,7.040094339622640085e-01
